Station,Year,Month,monthly_rainfall
Khulna,1951,6,193.0
Khulna,1951,7,475.0
Khulna,1951,8,224.0
Khulna,1951,9,153.0
Khulna,1951,10,124.0
Khulna,1951,11,20.0
Khulna,1951,12,0.0
M.court,1951,1,0.0
M.court,1951,2,0.0
M.court,1951,3,0.0
M.court,1951,4,0.0
M.court,1951,5,0.0
M.court,1951,6,0.0
M.court,1951,7,0.0
M.court,1951,8,170.0
M.court,1951,9,55.0
M.court,1951,10,180.0
M.court,1951,11,0.0
M.court,1951,12,0.0
Mymensingh,1951,1,0.0
Mymensingh,1951,2,0.0
Mymensingh,1951,3,12.0
Mymensingh,1951,4,25.0
Mymensingh,1951,5,140.0
Mymensingh,1951,6,401.0
Mymensingh,1951,7,275.0
Mymensingh,1951,8,167.0
Mymensingh,1951,9,146.0
Mymensingh,1951,10,360.0
Mymensingh,1951,11,77.0
Mymensingh,1951,12,0.0
Satkhira,1951,1,0.0
Satkhira,1951,2,0.0
Satkhira,1951,3,40.0
Satkhira,1951,4,0.0
Satkhira,1951,5,146.0
Satkhira,1951,6,108.0
Satkhira,1951,7,316.0
Satkhira,1951,8,234.0
Satkhira,1951,9,243.0
Satkhira,1951,10,133.0
Satkhira,1951,11,21.0
Satkhira,1951,12,0.0
Srimangal,1951,1,1.0
Srimangal,1951,2,0.0
Srimangal,1951,3,45.0
Srimangal,1951,4,227.0
Srimangal,1951,5,427.0
Srimangal,1951,6,429.0
Srimangal,1951,7,490.0
Srimangal,1951,8,432.0
Srimangal,1951,9,279.0
Srimangal,1951,10,397.0
Srimangal,1951,11,34.0
Srimangal,1951,12,0.0
Bogra,1952,1,0.0
Bogra,1952,2,0.0
Bogra,1952,3,13.0
Bogra,1952,4,192.0
Bogra,1952,5,114.0
Bogra,1952,6,393.0
Bogra,1952,7,336.0
Bogra,1952,8,203.0
Bogra,1952,9,376.0
Bogra,1952,10,234.0
Bogra,1952,11,66.0
Bogra,1952,12,0.0
Chittagong,1952,1,0.0
Chittagong,1952,2,0.0
Chittagong,1952,3,73.0
Chittagong,1952,4,236.0
Chittagong,1952,5,204.0
Chittagong,1952,6,687.0
Chittagong,1952,7,491.0
Chittagong,1952,8,401.0
Chittagong,1952,9,146.0
Chittagong,1952,10,307.0
Chittagong,1952,11,152.0
Chittagong,1952,12,0.0
Comilla,1952,1,10.0
Comilla,1952,2,0.0
Comilla,1952,3,18.0
Comilla,1952,4,471.0
Comilla,1952,5,541.0
Comilla,1952,6,899.0
Comilla,1952,7,644.0
Comilla,1952,8,419.0
Comilla,1952,9,570.0
Comilla,1952,10,294.0
Comilla,1952,11,133.0
Comilla,1952,12,0.0
Cox's Bazar,1952,1,0.0
Cox's Bazar,1952,2,1.0
Cox's Bazar,1952,3,37.0
Cox's Bazar,1952,4,206.0
Cox's Bazar,1952,5,258.0
Cox's Bazar,1952,6,809.0
Cox's Bazar,1952,7,1266.0
Cox's Bazar,1952,8,439.0
Cox's Bazar,1952,9,617.0
Cox's Bazar,1952,10,505.0
Cox's Bazar,1952,11,37.0
Cox's Bazar,1952,12,0.0
Dinajpur,1952,1,0.0
Dinajpur,1952,2,0.0
Dinajpur,1952,3,0.0
Dinajpur,1952,4,115.0
Dinajpur,1952,5,290.0
Dinajpur,1952,6,372.0
Dinajpur,1952,7,637.0
Dinajpur,1952,8,144.0
Dinajpur,1952,9,511.0
Dinajpur,1952,10,97.0
Dinajpur,1952,11,0.0
Dinajpur,1952,12,0.0
Faridpur,1952,1,0.0
Faridpur,1952,2,0.0
Faridpur,1952,3,18.0
Faridpur,1952,4,167.0
Faridpur,1952,5,297.0
Faridpur,1952,6,220.0
Faridpur,1952,7,468.0
Faridpur,1952,8,338.0
Faridpur,1952,9,290.0
Faridpur,1952,10,93.0
Faridpur,1952,11,22.0
Faridpur,1952,12,0.0
Jessore,1952,1,0.0
Jessore,1952,2,0.0
Jessore,1952,3,38.0
Jessore,1952,4,123.0
Jessore,1952,5,95.0
Jessore,1952,6,275.0
Jessore,1952,7,280.0
Jessore,1952,8,207.0
Jessore,1952,9,210.0
Jessore,1952,10,117.0
Jessore,1952,11,10.0
Jessore,1952,12,0.0
Khulna,1952,1,0.0
Khulna,1952,2,0.0
Khulna,1952,3,6.0
Khulna,1952,4,81.0
Khulna,1952,5,218.0
Khulna,1952,6,323.0
Khulna,1952,7,496.0
Khulna,1952,8,122.0
Khulna,1952,9,228.0
Khulna,1952,10,158.0
Khulna,1952,11,15.0
Khulna,1952,12,3.0
M.court,1952,1,3.0
M.court,1952,2,0.0
M.court,1952,3,35.0
M.court,1952,4,303.0
M.court,1952,5,260.0
M.court,1952,6,798.0
M.court,1952,7,740.0
M.court,1952,8,416.0
M.court,1952,9,363.0
M.court,1952,10,399.0
M.court,1952,11,113.0
M.court,1952,12,0.0
Mymensingh,1952,1,0.0
Mymensingh,1952,2,0.0
Mymensingh,1952,3,25.0
Mymensingh,1952,4,96.0
Mymensingh,1952,5,196.0
Mymensingh,1952,6,166.0
Mymensingh,1952,7,371.0
Mymensingh,1952,8,271.0
Mymensingh,1952,9,468.0
Mymensingh,1952,10,254.0
Mymensingh,1952,11,56.0
Mymensingh,1952,12,0.0
Satkhira,1952,1,0.0
Satkhira,1952,2,0.0
Satkhira,1952,3,5.0
Satkhira,1952,4,147.0
Satkhira,1952,5,84.0
Satkhira,1952,6,217.0
Satkhira,1952,7,522.0
Satkhira,1952,8,293.0
Satkhira,1952,9,134.0
Satkhira,1952,10,161.0
Satkhira,1952,11,9.0
Satkhira,1952,12,0.0
Srimangal,1952,1,0.0
Srimangal,1952,2,0.0
Srimangal,1952,3,91.0
Srimangal,1952,4,111.0
Srimangal,1952,5,249.0
Srimangal,1952,6,319.0
Srimangal,1952,7,520.0
Srimangal,1952,8,495.0
Srimangal,1952,9,209.0
Srimangal,1952,10,298.0
Srimangal,1952,11,66.0
Srimangal,1952,12,0.0
Barisal,1953,1,10.0
Barisal,1953,2,3.0
Barisal,1953,3,3.0
Barisal,1953,4,46.0
Barisal,1953,5,339.0
Barisal,1953,6,715.0
Barisal,1953,7,526.0
Barisal,1953,8,166.0
Barisal,1953,9,174.0
Barisal,1953,10,45.0
Barisal,1953,11,0.0
Barisal,1953,12,0.0
Bogra,1953,1,8.0
Bogra,1953,2,9.0
Bogra,1953,3,90.0
Bogra,1953,4,32.0
Bogra,1953,5,146.0
Bogra,1953,6,140.0
Bogra,1953,7,57.0
Bogra,1953,8,128.0
Bogra,1953,9,346.0
Bogra,1953,10,93.0
Bogra,1953,11,4.0
Bogra,1953,12,0.0
Chittagong,1953,1,0.0
Chittagong,1953,2,0.0
Chittagong,1953,3,5.0
Chittagong,1953,4,57.0
Chittagong,1953,5,508.0
Chittagong,1953,6,527.0
Chittagong,1953,7,764.0
Chittagong,1953,8,524.0
Chittagong,1953,9,622.0
Chittagong,1953,10,315.0
Chittagong,1953,11,17.0
Chittagong,1953,12,0.0
Comilla,1953,1,2.0
Comilla,1953,2,2.0
Comilla,1953,3,29.0
Comilla,1953,4,20.0
Comilla,1953,5,225.0
Comilla,1953,6,661.0
Comilla,1953,7,612.0
Comilla,1953,8,370.0
Comilla,1953,9,493.0
Comilla,1953,10,147.0
Comilla,1953,11,0.0
Comilla,1953,12,42.0
Cox's Bazar,1953,1,2.0
Cox's Bazar,1953,2,0.0
Cox's Bazar,1953,3,0.0
Cox's Bazar,1953,4,6.0
Cox's Bazar,1953,5,455.0
Cox's Bazar,1953,6,722.0
Cox's Bazar,1953,7,1084.0
Cox's Bazar,1953,8,606.0
Cox's Bazar,1953,9,401.0
Cox's Bazar,1953,10,99.0
Cox's Bazar,1953,11,21.0
Cox's Bazar,1953,12,0.0
Dhaka,1953,1,0.0
Dhaka,1953,2,0.0
Dhaka,1953,3,0.0
Dhaka,1953,4,90.0
Dhaka,1953,5,274.0
Dhaka,1953,6,333.0
Dhaka,1953,7,392.0
Dhaka,1953,8,326.0
Dhaka,1953,9,352.0
Dhaka,1953,10,52.0
Dhaka,1953,11,13.0
Dhaka,1953,12,0.0
Dinajpur,1953,1,20.0
Dinajpur,1953,2,0.0
Dinajpur,1953,3,5.0
Dinajpur,1953,4,50.0
Dinajpur,1953,5,58.0
Dinajpur,1953,6,254.0
Dinajpur,1953,7,715.0
Dinajpur,1953,8,136.0
Dinajpur,1953,9,217.0
Dinajpur,1953,10,28.0
Dinajpur,1953,11,0.0
Dinajpur,1953,12,0.0
Faridpur,1953,1,0.0
Faridpur,1953,2,7.0
Faridpur,1953,3,129.0
Faridpur,1953,4,40.0
Faridpur,1953,5,246.0
Faridpur,1953,6,591.0
Faridpur,1953,7,677.0
Faridpur,1953,8,298.0
Faridpur,1953,9,289.0
Faridpur,1953,10,55.0
